ID1,ID2,ID3,ID4,VCL,VAP,VSL,LIN,STR,WOB,BeatCross,ALH
balder,10032020-25,1u,30,127.110054,56.666355,21.80543,0.17154764,0.38480383,0.44580543,42.41379,4.7617164
balder,10032020-25,1u,30,81.56041,28.683687,21.923042,0.26879516,0.7643035,0.35168642,48.103447,2.787108
balder,10032020-25,1u,30,62.830067,34.478935,31.745853,0.50526536,0.9207319,0.5487649,30.0,2.864889
balder,10032020-25,1u,30,104.6083,62.54841,26.360271,0.25199026,0.42143792,0.5979297,40.86207,4.427004
balder,10032020-25,1u,30,52.952248,18.416208,17.087137,0.32268953,0.9278314,0.347789,36.0,2.4507627
balder,10032020-25,1u,30,100.2032,38.645416,32.614815,0.32548675,0.8439504,0.38567048,37.5,3.4640255
balder,10032020-25,1u,30,83.96227,58.36552,53.0235,0.63151574,0.90847296,0.6951398,26.666666,4.7242637
balder,10032020-25,1u,30,93.52205,55.739822,50.337696,0.5382442,0.90308315,0.59600735,37.77778,4.632334
balder,10032020-25,1u,30,62.739914,26.312025,24.281622,0.38702035,0.9228337,0.41938254,35.294117,2.3296533
balder,10032020-26,1u,30,110.81265,63.909286,60.96679,0.55017895,0.9539582,0.57673275,39.310345,5.016766
balder,10032020-26,1u,30,89.754295,59.842033,54.411648,0.6062289,0.90925467,0.6667317,38.9011,3.7355475
balder,10032020-26,1u,30,105.3403,60.35199,50.39555,0.47840714,0.83502716,0.5729241,31.034483,4.321154
balder,10032020-26,1u,30,71.19299,34.88896,32.33586,0.45420003,0.9268221,0.4900617,44.736843,2.999632
balder,10032020-26,1u,30,67.87122,43.028507,39.72538,0.5853052,0.9232339,0.6339728,48.103447,3.0725896
balder,10032020-26,1u,30,62.455692,34.03566,28.895557,0.46265692,0.84897894,0.54495686,38.608696,2.3086736
balder,10032020-26,1u,30,96.67989,62.544067,60.16405,0.6223016,0.96194655,0.6469191,30.545454,3.9707778
balder,10032020-27,1u,30,86.50003,51.579296,44.202625,0.51101285,0.8569839,0.59629226,34.13793,3.783006
